"Luminance measurement at 7T, vision coil, filter = ND.3, [cd/m^2], date: 13.09.2018",
Pixel intensity,Measurement 1,Measurement 2
-1.00,2.24,2.20
-0.88,4.33,4.30
-0.75,16.30,16.20
-0.63,42.50,42.50
-0.50,90.90,90.30
-0.38,154.00,155.00
-0.25,232.00,232.00
-0.13,329.00,329.00
0.00,435.00,435.00
0.13,544.00,545.00
0.25,653.00,655.00
0.38,766.00,766.00
0.50,881.00,881.00
0.63,997.00,997.00
0.75,1110.00,1110.00
0.88,1220.00,1210.00
1.00,1310.00,1300.00
